OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,,
SO - 000226,6/16/2014,140,Wholesale,USD,GUT930,36,19,8,871.00,"6,968.00",705.51,,
SO - 000227,6/16/2014,123,Wholesale,USD,GUT930,44,15,6,750.40,"4,502.40",360.19,,
SO - 000228,6/16/2014,139,Distributor,USD,GUT930,36,5,5,763.80,"3,819.00",504.11,,
SO - 000229,6/16/2014,96,Export,USD,NXH382,55,17,11,844.20,"9,286.20",565.61,,
SO - 000230,6/16/2014,154,Wholesale,USD,AXW291,6,24,5,261.30,"1,306.50",112.36,,
SO - 000231,6/16/2014,4,Export,USD,AXW291,13,14,8,"3,999.90","31,999.20","2,359.94",,
SO - 000232,6/16/2014,70,Wholesale,USD,GUT930,45,26,7,"1,112.20","7,785.40",811.91,,
SO - 000233,6/16/2014,50,Wholesale,USD,AXW291,30,8,8,"2,633.10","21,064.80","1,843.17",,
SO - 000234,6/16/2014,44,Distributor,USD,AXW291,24,20,5,"1,018.40","5,092.00",631.41,,
SO - 000235,6/16/2014,70,Distributor,USD,AXW291,10,26,12,"5,219.30","62,631.60","3,444.74",,
SO - 000236,6/16/2014,175,Export,USD,NXH382,47,8,11,"3,999.90","43,998.90","2,359.94",,
SO - 000237,6/17/2014,90,Wholesale,USD,FLR025,62,13,10,"1,721.90","17,219.00","1,084.80",,
SO - 000238,6/17/2014,129,Wholesale,USD,GUT930,35,1,9,737.00,"6,633.00",456.94,,
SO - 000239,6/17/2014,124,Wholesale,USD,AXW291,6,9,9,"1,219.40","10,974.60",695.06,,
SO - 000240,6/17/2014,9,Wholesale,USD,NXH382,51,29,6,891.10,"5,346.60",712.88,,
SO - 000241,6/17/2014,117,Wholesale,USD,AXW291,27,25,12,978.20,"11,738.40",743.43,,
SO - 000242,6/17/2014,100,Wholesale,USD,AXW291,31,17,9,"3,946.30","35,516.70","1,657.45",,
SO - 000243,6/17/2014,92,Wholesale,USD,GUT930,33,18,12,"1,299.80","15,597.60",922.86,,
SO - 000244,6/18/2014,155,Distributor,USD,AXW291,14,7,5,"5,815.60","29,078.00","2,791.49",,
SO - 000245,6/18/2014,100,Distributor,USD,AXW291,22,15,10,"1,092.10","10,921.00",655.26,,
SO - 000246,6/18/2014,156,Wholesale,USD,AXW291,7,25,7,"1,072.00","7,504.00",643.20,,
SO - 000247,6/18/2014,134,Wholesale,USD,GUT930,39,26,11,"4,020.00","44,220.00","2,653.20",,
SO - 000248,6/18/2014,140,Wholesale,USD,AXW291,12,3,9,984.90,"8,864.10",669.73,,
SO - 000249,6/18/2014,28,Wholesale,USD,FLR025,62,16,12,227.80,"2,733.60",100.23,,
SO - 000250,6/18/2014,72,Wholesale,USD,AXW291,7,13,11,"3,993.20","43,925.20","3,314.36",,
SO - 000251,6/18/2014,106,Distributor,USD,AXW291,30,2,10,221.10,"2,211.00",185.72,,
SO - 000252,6/19/2014,62,Distributor,USD,AXW291,19,14,9,"3,356.70","30,210.30","2,819.63",,
SO - 000253,6/19/2014,94,Wholesale,USD,NXH382,58,21,6,"1,701.80","10,210.80","1,157.22",,
SO - 000254,6/19/2014,67,Wholesale,USD,NXH382,50,15,5,"2,566.10","12,830.50","2,181.19",,
SO - 000255,6/19/2014,102,Wholesale,USD,AXW291,19,13,12,221.10,"2,653.20",126.03,,
SO - 000256,6/19/2014,172,Wholesale,USD,GUT930,45,27,9,"1,782.20","16,039.80",980.21,,
SO - 000257,6/19/2014,41,Wholesale,USD,AXW291,17,30,10,"2,003.30","20,033.00",801.32,,
SO - 000258,6/19/2014,142,Wholesale,USD,AXW291,6,17,11,"2,385.20","26,237.20","1,502.68",,
SO - 000259,6/19/2014,2,Wholesale,USD,AXW291,3,15,11,"2,231.10","24,542.10","1,784.88",,
SO - 000260,6/19/2014,140,Wholesale,USD,AXW291,22,18,7,"1,005.00","7,035.00",412.05,,
SO - 000261,6/19/2014,122,Distributor,USD,NXH382,53,2,12,"2,693.40","32,320.80","1,939.25",,
SO - 000262,6/19/2014,156,Wholesale,USD,AXW291,20,4,8,"1,105.50","8,844.00",652.25,,
SO - 000263,6/20/2014,108,Distributor,USD,AXW291,16,8,9,"1,909.50","17,185.50","1,088.42",,
SO - 000264,6/20/2014,123,Distributor,USD,GUT930,32,1,8,"1,118.90","8,951.20",850.36,,
SO - 000265,6/20/2014,15,Wholesale,USD,AXW291,17,4,10,"1,038.50","10,385.00",758.11,,
SO - 000266,6/20/2014,125,Distributor,USD,AXW291,23,14,6,"6,324.80","37,948.80","4,300.86",,
SO - 000267,6/20/2014,75,Wholesale,USD,AXW291,3,16,6,"1,005.00","6,030.00",502.50,,
SO - 000268,6/20/2014,116,Distributor,USD,GUT930,32,16,10,"1,293.10","12,931.00",659.48,,
SO - 000269,6/20/2014,47,Wholesale,USD,AXW291,14,25,5,844.20,"4,221.00",540.29,,
SO - 000270,6/20/2014,40,Wholesale,USD,NXH382,58,1,8,247.90,"1,983.20",195.84,,
SO - 000271,6/20/2014,161,Wholesale,USD,GUT930,39,13,12,174.20,"2,090.40",139.36,,
SO - 000272,6/21/2014,58,Wholesale,USD,NXH382,50,2,9,"1,025.10","9,225.90",707.32,,
SO - 000273,6/21/2014,18,Export,USD,FLR025,62,10,9,"3,068.60","27,617.40","2,301.45",,
SO - 000274,6/21/2014,78,Distributor,USD,AXW291,22,18,7,241.20,"1,688.40",115.78,,
SO - 000275,6/21/2014,67,Distributor,USD,GUT930,36,15,10,174.20,"1,742.00",139.36,,
SO - 000276,6/21/2014,152,Export,USD,AXW291,6,17,7,"2,505.80","17,540.60","1,804.18",,
SO - 000277,6/21/2014,164,Wholesale,USD,GUT930,42,11,11,"2,599.60","28,595.60","1,637.75",,
SO - 000278,6/21/2014,151,Export,USD,AXW291,28,26,12,"2,278.00","27,336.00","1,503.48",,
SO - 000279,6/22/2014,106,Wholesale,USD,FLR025,64,25,12,"1,092.10","13,105.20",589.73,,
SO - 000280,6/22/2014,1,Wholesale,USD,AXW291,8,17,9,"1,139.00","10,251.00",933.98,,
SO - 000281,6/22/2014,67,Export,USD,FLR025,61,14,11,"1,675.00","18,425.00","1,072.00",,
SO - 000282,6/22/2014,38,Export,USD,GUT930,41,23,7,"1,011.70","7,081.90",687.96,,
SO - 000283,6/22/2014,127,Wholesale,USD,AXW291,23,4,12,938.00,"11,256.00",412.72,,
SO - 000284,6/22/2014,66,Distributor,USD,AXW291,10,2,10,"2,566.10","25,661.00","1,052.10",,
SO - 000285,6/23/2014,59,Wholesale,USD,GUT930,32,6,12,871.00,"10,452.00",374.53,,
SO - 000286,6/23/2014,68,Wholesale,USD,AXW291,15,25,9,"2,485.70","22,371.30","1,789.70",,
SO - 000287,6/23/2014,67,Distributor,USD,FLR025,66,27,9,"2,345.00","21,105.00","1,922.90",,
SO - 000288,6/23/2014,21,Distributor,USD,AXW291,9,12,12,"1,118.90","13,426.80",749.66,,
SO - 000289,6/23/2014,39,Wholesale,USD,AXW291,2,20,7,"1,996.60","13,976.20","1,397.62",,
SO - 000290,6/23/2014,113,Distributor,USD,AXW291,23,25,6,710.20,"4,261.20",390.61,,
SO - 000291,6/23/2014,21,Export,USD,GUT930,37,1,6,"3,979.80","23,878.80","1,790.91",,
SO - 000292,6/23/2014,116,Distributor,USD,FLR025,61,25,6,"1,025.10","6,150.60",440.79,,
SO - 000293,6/23/2014,95,Distributor,USD,GUT930,36,15,8,"2,519.20","20,153.60","1,309.98",,
SO - 000294,6/23/2014,9,Wholesale,USD,AXW291,27,5,8,"5,031.70","40,253.60","3,471.87",,
SO - 000295,6/24/2014,3,Wholesale,USD,NXH382,56,18,10,"1,829.10","18,291.00",768.22,,
SO - 000296,6/24/2014,148,Wholesale,USD,NXH382,55,26,11,"1,072.00","11,792.00",900.48,,
SO - 000297,6/24/2014,109,Wholesale,USD,GUT930,45,27,10,"2,539.30","25,393.00","1,828.30",,
SO - 000298,6/24/2014,38,Distributor,USD,NXH382,48,19,8,"3,899.40","31,195.20","2,027.69",,
SO - 000299,6/25/2014,102,Wholesale,USD,FLR025,66,1,7,"5,045.10","35,315.70","3,380.22",,
SO - 000300,6/25/2014,37,Wholesale,USD,AXW291,23,20,11,"1,005.00","11,055.00",522.60,,
SO - 000301,6/25/2014,107,Wholesale,USD,GUT930,33,28,11,"2,438.80","26,826.80","1,219.40",,
SO - 000302,6/26/2014,40,Distributor,USD,AXW291,28,1,6,"3,336.60","20,019.60","2,035.33",,
SO - 000303,6/26/2014,154,Wholesale,USD,GUT930,46,27,6,"1,098.80","6,592.80",857.06,,
SO - 000304,6/26/2014,107,Wholesale,USD,AXW291,12,2,11,"1,902.80","20,930.80",970.43,,
SO - 000305,6/26/2014,137,Wholesale,USD,AXW291,28,9,11,"3,477.30","38,250.30","2,190.70",,
SO - 000306,6/27/2014,146,Distributor,USD,GUT930,36,17,10,"2,599.60","25,996.00","1,481.77",,
SO - 000307,6/27/2014,164,Wholesale,USD,NXH382,54,25,12,"1,078.70","12,944.40",506.99,,
SO - 000308,6/27/2014,4,Distributor,USD,GUT930,36,1,11,"1,045.20","11,497.20",533.05,,
SO - 000309,6/27/2014,4,Export,USD,AXW291,29,2,11,"1,125.60","12,381.60",787.92,,
SO - 000310,6/27/2014,165,Export,USD,GUT930,34,16,12,"1,105.50","13,266.00",762.80,,
SO - 000311,6/27/2014,68,Export,USD,AXW291,16,10,10,"2,606.30","26,063.00","1,668.03",,
SO - 000312,6/27/2014,109,Wholesale,USD,GUT930,41,13,7,227.80,"1,594.60",95.68,,
SO - 000313,6/27/2014,107,Wholesale,USD,GUT930,33,15,8,167.50,"1,340.00",123.95,,
SO - 000314,6/27/2014,48,Wholesale,USD,GUT930,45,23,6,"1,145.70","6,874.20",538.48,,
SO - 000315,6/27/2014,62,Wholesale,USD,NXH382,59,14,7,"2,599.60","18,197.20","2,157.67",,
SO - 000316,6/28/2014,21,Wholesale,USD,AXW291,25,10,5,"3,939.60","19,698.00","1,969.80",,
SO - 000317,6/28/2014,40,Distributor,USD,AXW291,20,2,6,"2,881.00","17,286.00","1,584.55",,
SO - 000318,6/28/2014,62,Distributor,USD,AXW291,20,13,8,"3,852.50","30,820.00","2,003.30",,
SO - 000319,6/28/2014,100,Export,USD,AXW291,10,17,7,"1,139.00","7,973.00",546.72,,
SO - 000320,6/28/2014,59,Distributor,USD,GUT930,35,25,8,"2,519.20","20,153.60","2,040.55",,
SO - 000321,6/28/2014,39,Distributor,USD,AXW291,15,17,12,"1,192.60","14,311.20",703.63,,
SO - 000322,6/28/2014,122,Wholesale,USD,GUT930,39,19,11,"2,412.00","26,532.00","1,013.04",,
SO - 000323,6/28/2014,142,Wholesale,USD,AXW291,24,25,9,"2,479.00","22,311.00","2,057.57",,
SO - 000324,6/28/2014,5,Wholesale,USD,NXH382,58,14,10,"1,956.40","19,564.00","1,330.35",,
SO - 000325,6/28/2014,22,Wholesale,USD,GUT930,32,25,9,"1,078.70","9,708.30",722.73,,
SO - 000326,6/28/2014,47,Wholesale,USD,AXW291,13,22,11,"1,212.70","13,339.70",945.91,,
SO - 000327,6/28/2014,88,Distributor,USD,GUT930,46,21,7,978.20,"6,847.40",821.69,,
SO - 000328,6/28/2014,172,Distributor,USD,NXH382,50,23,10,174.20,"1,742.00",120.20,,
SO - 000329,6/28/2014,74,Wholesale,USD,GUT930,41,5,5,"1,125.60","5,628.00",630.34,,
SO - 000330,6/29/2014,31,Distributor,USD,NXH382,52,25,8,"1,065.30","8,522.40",468.73,,
SO - 000331,6/29/2014,111,Distributor,USD,AXW291,11,2,8,"3,892.70","31,141.60","2,724.89",,
SO - 000332,6/29/2014,54,Wholesale,USD,NXH382,54,6,5,207.70,"1,038.50",120.47,,
SO - 000333,6/29/2014,99,Wholesale,USD,AXW291,14,27,8,"1,185.90","9,487.20",948.72,,
SO - 000334,6/29/2014,110,Export,USD,FLR025,64,25,11,"2,586.20","28,448.20","1,629.31",,
SO - 000335,6/29/2014,152,Wholesale,USD,AXW291,5,5,10,"2,579.50","25,795.00","1,960.42",,
SO - 000336,6/29/2014,10,Distributor,USD,AXW291,5,4,8,"6,378.40","51,027.20","2,806.50",,
SO - 000337,6/29/2014,41,Wholesale,USD,NXH382,53,6,6,"3,008.30","18,049.80","2,226.14",,
SO - 000338,6/29/2014,27,Wholesale,USD,AXW291,26,26,8,"1,755.40","14,043.20",930.36,,
SO - 000339,6/29/2014,168,Wholesale,USD,AXW291,31,6,8,"1,139.00","9,112.00",740.35,,
SO - 000340,6/29/2014,3,Distributor,USD,AXW291,8,6,7,"6,157.30","43,101.10","4,556.40",,
SO - 000341,6/29/2014,150,Export,USD,AXW291,8,22,12,"2,231.10","26,773.20","1,093.24",,
SO - 000342,6/29/2014,4,Wholesale,USD,AXW291,12,20,9,"2,479.00","22,311.00","1,859.25",,
SO - 000343,6/30/2014,70,Wholesale,USD,AXW291,4,25,11,"6,391.80","70,309.80","4,793.85",,
SO - 000344,6/30/2014,143,Export,USD,NXH382,48,25,8,"1,139.00","9,112.00",660.62,,
SO - 000345,6/30/2014,65,Wholesale,USD,GUT930,36,10,8,"2,586.20","20,689.60","1,681.03",,
SO - 000346,6/30/2014,171,Wholesale,USD,GUT930,38,25,5,"3,899.40","19,497.00","1,871.71",,
SO - 000347,6/30/2014,48,Distributor,USD,AXW291,15,22,9,951.40,"8,562.60",599.38,,
SO - 000348,7/1/2014,41,Distributor,USD,GUT930,31,26,9,"5,607.90","50,471.10","3,476.90",,
SO - 000349,7/1/2014,44,Export,USD,NXH382,50,5,8,"1,165.80","9,326.40",827.72,,
SO - 000350,7/1/2014,30,Distributor,USD,NXH382,50,13,12,"1,949.70","23,396.40","1,520.77",,
SO - 000351,7/1/2014,75,Distributor,USD,AXW291,27,16,9,"3,685.00","33,165.00","2,690.05",,
SO - 000352,7/1/2014,138,Wholesale,USD,FLR025,60,13,8,"2,633.10","21,064.80","1,816.84",,
